PPN01478	GPAL|GPLIN_001293100	GROS|GROS_g04709.t1
PPN06670	GPAL|GPLIN_000574300	GROS|GROS_g00168.t1
PPN12838	GPAL|GPLIN_001304800	GROS|GROS_g13187.t1
PPN12702	GPAL|GPLIN_001183900	GROS|GROS_g03488.t1
PPN12977	GPAL|GPLIN_001508600	GROS|GROS_g02448.t1
PPN06937	GPAL|GPLIN_000186000	GROS|GROS_g09581.t1
PPN11859	GPAL|GPLIN_000472800	GROS|GROS_g11575.t1
PPN11858	GPAL|GPLIN_000472300	GROS|GROS_g06666.t1
PPN11857	GPAL|GPLIN_000472200	GROS|GROS_g12310.t1
PPN11856	GPAL|GPLIN_000472100	GROS|GROS_g12308.t1
PPN11855	GPAL|GPLIN_000467200	GROS|GROS_g11592.t1
PPN11854	GPAL|GPLIN_000466900	GROS|GROS_g12845.t1
PPN11852	GPAL|GPLIN_000465700	GROS|GROS_g13305.t1
PPN11851	GPAL|GPLIN_000465200	GROS|GROS_g05121.t1
PPN11850	GPAL|GPLIN_000463800	GROS|GROS_g05134.t1
PPN00808	GPAL|GPLIN_000935500	GROS|GROS_g03791.t1
PPN00802	GPAL|GPLIN_000041000	GROS|GROS_g02210.t1
PPN00800	GPAL|GPLIN_000429500	GROS|GROS_g03753.t1
PPN00801	GPAL|GPLIN_001356900	GROS|GROS_g12216.t1
PPN00806	GPAL|GPLIN_000794800	GROS|GROS_g09296.t1
PPN03572	GPAL|GPLIN_000950000	GROS|GROS_g10170.t1
PPN03571	GPAL|GPLIN_000563600	GROS|GROS_g03022.t1
PPN03577	GPAL|GPLIN_000824300	GROS|GROS_g13081.t1
PPN11494	GPAL|GPLIN_000168700	GROS|GROS_g06680.t1
PPN06017	GPAL|GPLIN_000467700	GROS|GROS_g04161.t1
PPN06016	GPAL|GPLIN_000764900	GROS|GROS_g06921.t1
PPN06015	GPAL|GPLIN_000261900	GROS|GROS_g04073.t1
PPN06894	GPAL|GPLIN_000649800	GROS|GROS_g01283.t1
PPN06014	GPAL|GPLIN_000167400	GROS|GROS_g01295.t1
PPN11492	GPAL|GPLIN_000167800	GROS|GROS_g05353.t1
PPN06549	GPAL|GPLIN_000533700	GROS|GROS_g03107.t1
PPN06548	GPAL|GPLIN_000483000	GROS|GROS_g11117.t1
PPN11272	GPAL|GPLIN_000959300	GROS|GROS_g01621.t1
PPN07526	GPAL|GPLIN_001276400	GROS|GROS_g10354.t1
PPN11490	GPAL|GPLIN_000165100	GROS|GROS_g08819.t1
PPN06949	GPAL|GPLIN_000245700	GROS|GROS_g01590.t1
PPN06948	GPAL|GPLIN_000232900	GROS|GROS_g04091.t1
PPN01043	GPAL|GPLIN_000434900	GROS|GROS_g00877.t1
PPN01042	GPAL|GPLIN_000070100	GROS|GROS_g02256.t1
PPN01045	GPAL|GPLIN_001052500	GROS|GROS_g04390.t1
PPN01047	GPAL|GPLIN_000131000	GROS|GROS_g05869.t1
PPN01046	GPAL|GPLIN_000567600	GROS|GROS_g05629.t1
PPN01049	GPAL|GPLIN_000328900	GROS|GROS_g04846.t1
PPN01048	GPAL|GPLIN_000193700	GROS|GROS_g06533.t1
PPN04624	GPAL|GPLIN_000277300	GROS|GROS_g08512.t1
PPN04622	GPAL|GPLIN_000566700	GROS|GROS_g05620.t1
PPN08639	GPAL|GPLIN_001140800	GROS|GROS_g09988.t1
PPN04623	GPAL|GPLIN_000653600	GROS|GROS_g01192.t1
PPN03919	GPAL|GPLIN_001462700	GROS|GROS_g08117.t1
PPN03918	GPAL|GPLIN_000646100	GROS|GROS_g09442.t1
PPN04620	GPAL|GPLIN_000138100	GROS|GROS_g05902.t1
PPN03911	GPAL|GPLIN_000997000	GROS|GROS_g11961.t1
PPN03910	GPAL|GPLIN_000598500	GROS|GROS_g08316.t1
PPN03913	GPAL|GPLIN_001363200	GROS|GROS_g12362.t1
PPN03912	GPAL|GPLIN_000686900	GROS|GROS_g09797.t1
PPN03915	GPAL|GPLIN_000881700	GROS|GROS_g03409.t1
PPN03914	GPAL|GPLIN_000467900	GROS|GROS_g04158.t1
PPN03916	GPAL|GPLIN_001384500	GROS|GROS_g09075.t1
PPN06943	GPAL|GPLIN_000216200	GROS|GROS_g07390.t1
PPN12777	GPAL|GPLIN_001243300	GROS|GROS_g12964.t1
PPN12775	GPAL|GPLIN_001241600	GROS|GROS_g00399.t1
PPN06942	GPAL|GPLIN_000214700	GROS|GROS_g07409.t1
PPN12771	GPAL|GPLIN_001236500	GROS|GROS_g03212.t1
PPN12770	GPAL|GPLIN_001234300	GROS|GROS_g05402.t1
PPN08499	GPAL|GPLIN_000270900	GROS|GROS_g01005.t1
PPN08490	GPAL|GPLIN_000774800	GROS|GROS_g00775.t1
PPN08493	GPAL|GPLIN_000331600	GROS|GROS_g08194.t1
PPN08492	GPAL|GPLIN_000498800	GROS|GROS_g05461.t1
PPN08494	GPAL|GPLIN_000113000	GROS|GROS_g13657.t1
PPN08947	GPAL|GPLIN_000070700	GROS|GROS_g02248.t1
PPN08946	GPAL|GPLIN_000066000	GROS|GROS_g01851.t1
PPN08944	GPAL|GPLIN_000058300	GROS|GROS_g03357.t1
PPN08943	GPAL|GPLIN_000057500	GROS|GROS_g03380.t1
PPN08942	GPAL|GPLIN_000057400	GROS|GROS_g03381.t1
PPN08941	GPAL|GPLIN_000050100	GROS|GROS_g07207.t1
PPN04225	GPAL|GPLIN_000219700	GROS|GROS_g06582.t1
PPN08949	GPAL|GPLIN_000077900	GROS|GROS_g02705.t1
PPN08948	GPAL|GPLIN_000076400	GROS|GROS_g07642.t1
PPN01452	GPAL|GPLIN_001304100	GROS|GROS_g08624.t1
PPN01453	GPAL|GPLIN_001119500	GROS|GROS_g09848.t1
PPN01450	GPAL|GPLIN_000385700	GROS|GROS_g09715.t1
PPN01451	GPAL|GPLIN_001453800	GROS|GROS_g12062.t1
PPN01457	GPAL|GPLIN_000726800	GROS|GROS_g09433.t1
PPN01455	GPAL|GPLIN_000231600	GROS|GROS_g06026.t1
PPN01459	GPAL|GPLIN_000054300	GROS|GROS_g03436.t1
PPN12199	GPAL|GPLIN_000742300	GROS|GROS_g03875.t1
PPN12198	GPAL|GPLIN_000742000	GROS|GROS_g07365.t1
PPN12193	GPAL|GPLIN_000738800	GROS|GROS_g08292.t1
PPN12192	GPAL|GPLIN_000737900	GROS|GROS_g10299.t1
PPN12191	GPAL|GPLIN_000736000	GROS|GROS_g08142.t1
PPN12190	GPAL|GPLIN_000735400	GROS|GROS_g13893.t1
PPN12197	GPAL|GPLIN_000741900	GROS|GROS_g07363.t1
PPN06743	GPAL|GPLIN_001226100	GROS|GROS_g01308.t1
PPN12195	GPAL|GPLIN_000740100	GROS|GROS_g11740.t1
PPN12194	GPAL|GPLIN_000739500	GROS|GROS_g10570.t1
PPN02553	GPAL|GPLIN_000419100	GROS|GROS_g06004.t1
PPN06742	GPAL|GPLIN_001226200	GROS|GROS_g01307.t1
PPN02550	GPAL|GPLIN_000666900	GROS|GROS_g02434.t1
PPN06116	GPAL|GPLIN_000400800	GROS|GROS_g04487.t1
PPN12993	GPAL|GPLIN_001526200	GROS|GROS_g01723.t1
PPN12992	GPAL|GPLIN_001525000	GROS|GROS_g00882.t1
PPN12991	GPAL|GPLIN_001523300	GROS|GROS_g12344.t1
PPN12997	GPAL|GPLIN_001530500	GROS|GROS_g07969.t1
PPN12996	GPAL|GPLIN_001529800	GROS|GROS_g02830.t1
PPN04798	GPAL|GPLIN_000274700	GROS|GROS_g06707.t1
PPN04799	GPAL|GPLIN_001176900	GROS|GROS_g07503.t1
PPN04796	GPAL|GPLIN_000274200	GROS|GROS_g12567.t1
PPN04797	GPAL|GPLIN_001173100	GROS|GROS_g06341.t1
PPN04794	GPAL|GPLIN_000848700	GROS|GROS_g08013.t1
PPN04795	GPAL|GPLIN_000177200	GROS|GROS_g01952.t1
PPN04792	GPAL|GPLIN_000446100	GROS|GROS_g07470.t1
PPN04793	GPAL|GPLIN_000040600	GROS|GROS_g02214.t1
PPN04790	GPAL|GPLIN_000131500	GROS|GROS_g04295.t1
PPN04791	GPAL|GPLIN_000372300	GROS|GROS_g01870.t1
PPN11931	GPAL|GPLIN_000524900	GROS|GROS_g13554.t1
PPN07119	GPAL|GPLIN_001620400	GROS|GROS_g00591.t1
PPN07118	GPAL|GPLIN_001620300	GROS|GROS_g00766.t1
PPN04864	GPAL|GPLIN_000254300	GROS|GROS_g10410.t1
PPN04865	GPAL|GPLIN_000932200	GROS|GROS_g01130.t1
PPN04866	GPAL|GPLIN_000772500	GROS|GROS_g00758.t1
PPN04867	GPAL|GPLIN_001023400	GROS|GROS_g05160.t1
PPN04860	GPAL|GPLIN_000947300	GROS|GROS_g02730.t1
PPN04861	GPAL|GPLIN_001150600	GROS|GROS_g10685.t1
PPN04862	GPAL|GPLIN_000852100	GROS|GROS_g11624.t1
PPN04863	GPAL|GPLIN_000147300	GROS|GROS_g04223.t1
PPN04868	GPAL|GPLIN_000213100	GROS|GROS_g01221.t1
PPN04869	GPAL|GPLIN_000455900	GROS|GROS_g02944.t1
PPN06746	GPAL|GPLIN_000268400	GROS|GROS_g00967.t1
PPN11466	GPAL|GPLIN_000136700	GROS|GROS_g05912.t1
PPN06745	GPAL|GPLIN_001076800	GROS|GROS_g03082.t1
PPN06741	GPAL|GPLIN_001583100	GROS|GROS_g03185.t1
PPN11465	GPAL|GPLIN_000136200	GROS|GROS_g05920.t1
PPN11460	GPAL|GPLIN_000129800	GROS|GROS_g04599.t1
PPN11461	GPAL|GPLIN_000131900	GROS|GROS_g04299.t1
PPN01558	GPAL|GPLIN_001213800	GROS|GROS_g05430.t1
PPN11468	GPAL|GPLIN_000143000	GROS|GROS_g08150.t1
PPN11469	GPAL|GPLIN_000144100	GROS|GROS_g07007.t1
PPN01557	GPAL|GPLIN_000574800	GROS|GROS_g00172.t1
PPN06117	GPAL|GPLIN_001104600	GROS|GROS_g12133.t1
PPN01555	GPAL|GPLIN_000079400	GROS|GROS_g03569.t1
PPN04074	GPAL|GPLIN_000113300	GROS|GROS_g13595.t1
PPN01552	GPAL|GPLIN_000694400	GROS|GROS_g02010.t1
PPN03366	GPAL|GPLIN_000665600	GROS|GROS_g05808.t1
PPN03365	GPAL|GPLIN_000247800	GROS|GROS_g03173.t1
PPN04070	GPAL|GPLIN_000161100	GROS|GROS_g06063.t1
PPN06799	GPAL|GPLIN_000843300	GROS|GROS_g01987.t1
PPN03368	GPAL|GPLIN_000328100	GROS|GROS_g02593.t1
PPN02097	GPAL|GPLIN_001193200	GROS|GROS_g03287.t1
PPN02096	GPAL|GPLIN_000993300	GROS|GROS_g03286.t1
PPN02094	GPAL|GPLIN_001449700	GROS|GROS_g03316.t1
PPN02091	GPAL|GPLIN_001140600	GROS|GROS_g09986.t1
PPN02090	GPAL|GPLIN_000158000	GROS|GROS_g08240.t1
PPN02099	GPAL|GPLIN_000292100	GROS|GROS_g11687.t1
PPN02098	GPAL|GPLIN_000292600	GROS|GROS_g11691.t1
PPN06620	GPAL|GPLIN_001584900	GROS|GROS_g10785.t1
PPN06740	GPAL|GPLIN_001174400	GROS|GROS_g12265.t1
PPN11999	GPAL|GPLIN_000585000	GROS|GROS_g04989.t1
PPN09049	GPAL|GPLIN_000652100	GROS|GROS_g08703.t1
PPN09048	GPAL|GPLIN_000641300	GROS|GROS_g09877.t1
PPN11648	GPAL|GPLIN_000291000	GROS|GROS_g12214.t1
PPN11649	GPAL|GPLIN_000292400	GROS|GROS_g05303.t1
PPN11997	GPAL|GPLIN_000581900	GROS|GROS_g04036.t1
PPN09041	GPAL|GPLIN_000594700	GROS|GROS_g12742.t1
PPN09040	GPAL|GPLIN_000594500	GROS|GROS_g12189.t1
PPN09043	GPAL|GPLIN_000600400	GROS|GROS_g03842.t1
PPN09042	GPAL|GPLIN_000599300	GROS|GROS_g11724.t1
PPN09045	GPAL|GPLIN_000607200	GROS|GROS_g01135.t1
PPN09047	GPAL|GPLIN_000639900	GROS|GROS_g06569.t1
PPN09046	GPAL|GPLIN_000624100	GROS|GROS_g09831.t1
PPN08798	GPAL|GPLIN_000408500	GROS|GROS_g06957.t1
PPN08799	GPAL|GPLIN_000921300	GROS|GROS_g05946.t1
PPN12788	GPAL|GPLIN_001250400	GROS|GROS_g07047.t1
PPN08793	GPAL|GPLIN_000059100	GROS|GROS_g03703.t1
PPN08797	GPAL|GPLIN_000848800	GROS|GROS_g08014.t1
PPN06938	GPAL|GPLIN_000188000	GROS|GROS_g05394.t1
PPN06939	GPAL|GPLIN_000196700	GROS|GROS_g09262.t1
PPN11990	GPAL|GPLIN_000574100	GROS|GROS_g00164.t1
PPN12643	GPAL|GPLIN_001123600	GROS|GROS_g09741.t1
PPN06930	GPAL|GPLIN_000151900	GROS|GROS_g02129.t1
PPN06931	GPAL|GPLIN_000157000	GROS|GROS_g09551.t1
PPN06932	GPAL|GPLIN_000167100	GROS|GROS_g07773.t1
PPN06933	GPAL|GPLIN_000172400	GROS|GROS_g10234.t1
PPN06934	GPAL|GPLIN_000173000	GROS|GROS_g10240.t1
PPN06935	GPAL|GPLIN_000173200	GROS|GROS_g10242.t1
PPN06936	GPAL|GPLIN_000180300	GROS|GROS_g05859.t1
PPN06623	GPAL|GPLIN_001029800	GROS|GROS_g08636.t1
PPN12785	GPAL|GPLIN_001247200	GROS|GROS_g02459.t1
PPN02549	GPAL|GPLIN_000704800	GROS|GROS_g05173.t1
PPN02548	GPAL|GPLIN_001311900	GROS|GROS_g08764.t1
PPN02545	GPAL|GPLIN_000219400	GROS|GROS_g02512.t1
PPN02235	GPAL|GPLIN_000986400	GROS|GROS_g06317.t1
PPN02234	GPAL|GPLIN_000716000	GROS|GROS_g00732.t1
PPN05018	GPAL|GPLIN_000643400	GROS|GROS_g11248.t1
PPN05019	GPAL|GPLIN_000749500	GROS|GROS_g11971.t1
PPN05015	GPAL|GPLIN_000424100	GROS|GROS_g11516.t1
PPN05013	GPAL|GPLIN_000337600	GROS|GROS_g03661.t1
PPN05010	GPAL|GPLIN_000224200	GROS|GROS_g02166.t1
PPN05011	GPAL|GPLIN_000322200	GROS|GROS_g06656.t1
PPN12641	GPAL|GPLIN_001121000	GROS|GROS_g00665.t1
PPN06625	GPAL|GPLIN_000820000	GROS|GROS_g00512.t1
PPN06747	GPAL|GPLIN_000267300	GROS|GROS_g00955.t1
PPN12640	GPAL|GPLIN_001119100	GROS|GROS_g08542.t1
PPN06626	GPAL|GPLIN_000586000	GROS|GROS_g06216.t1
PPN12647	GPAL|GPLIN_001131400	GROS|GROS_g14181.t1
PPN08895	GPAL|GPLIN_000016400	GROS|GROS_g05969.t1
PPN12724	GPAL|GPLIN_001196800	GROS|GROS_g09472.t1
PPN12269	GPAL|GPLIN_000802200	GROS|GROS_g12221.t1
PPN11849	GPAL|GPLIN_000463400	GROS|GROS_g09853.t1
PPN08896	GPAL|GPLIN_001034100	GROS|GROS_g01159.t1
PPN08891	GPAL|GPLIN_000322500	GROS|GROS_g06659.t1
PPN12646	GPAL|GPLIN_001130700	GROS|GROS_g12789.t1
PPN08890	GPAL|GPLIN_000073100	GROS|GROS_g11443.t1
PPN12346	GPAL|GPLIN_000868700	GROS|GROS_g05293.t1
PPN12268	GPAL|GPLIN_000797400	GROS|GROS_g04206.t1
PPN12344	GPAL|GPLIN_000866200	GROS|GROS_g00832.t1
PPN12345	GPAL|GPLIN_000867700	GROS|GROS_g10193.t1
PPN12342	GPAL|GPLIN_000863600	GROS|GROS_g12577.t1
PPN08893	GPAL|GPLIN_000392500	GROS|GROS_g00888.t1
PPN12340	GPAL|GPLIN_000862800	GROS|GROS_g07553.t1
PPN12341	GPAL|GPLIN_000863300	GROS|GROS_g12576.t1
PPN12698	GPAL|GPLIN_001179600	GROS|GROS_g03352.t1
PPN12699	GPAL|GPLIN_001180400	GROS|GROS_g07198.t1
PPN12348	GPAL|GPLIN_000870800	GROS|GROS_g10749.t1
PPN12349	GPAL|GPLIN_000871300	GROS|GROS_g08976.t1
PPN11847	GPAL|GPLIN_000459400	GROS|GROS_g05494.t1
PPN06404	GPAL|GPLIN_001456600	GROS|GROS_g02955.t1
PPN12528	GPAL|GPLIN_001010000	GROS|GROS_g04968.t1
PPN12529	GPAL|GPLIN_001013100	GROS|GROS_g09098.t1
PPN06263	GPAL|GPLIN_000845000	GROS|GROS_g04582.t1
PPN06265	GPAL|GPLIN_000095900	GROS|GROS_g09673.t1
PPN12669	GPAL|GPLIN_001152900	GROS|GROS_g01812.t1
PPN04309	GPAL|GPLIN_000473000	GROS|GROS_g11585.t1
PPN04308	GPAL|GPLIN_001472600	GROS|GROS_g10810.t1
PPN04659	GPAL|GPLIN_001241900	GROS|GROS_g00398.t1
PPN04658	GPAL|GPLIN_000395800	GROS|GROS_g04842.t1
PPN04657	GPAL|GPLIN_001229300	GROS|GROS_g04279.t1
PPN04304	GPAL|GPLIN_000224100	GROS|GROS_g02167.t1
PPN04307	GPAL|GPLIN_000082600	GROS|GROS_g11063.t1
PPN04306	GPAL|GPLIN_000021800	GROS|GROS_g08079.t1
PPN04300	GPAL|GPLIN_000857700	GROS|GROS_g04702.t1
PPN04303	GPAL|GPLIN_000083800	GROS|GROS_g13263.t1
PPN06655	GPAL|GPLIN_000329600	GROS|GROS_g09818.t1
PPN06651	GPAL|GPLIN_000030800	GROS|GROS_g12207.t1
PPN06653	GPAL|GPLIN_000461400	GROS|GROS_g09984.t1
PPN12830	GPAL|GPLIN_001292400	GROS|GROS_g02039.t1
PPN12832	GPAL|GPLIN_001292700	GROS|GROS_g02036.t1
PPN12833	GPAL|GPLIN_001293500	GROS|GROS_g12461.t1
PPN06658	GPAL|GPLIN_000728600	GROS|GROS_g12141.t1
PPN12836	GPAL|GPLIN_001301900	GROS|GROS_g09684.t1
PPN12665	GPAL|GPLIN_001150800	GROS|GROS_g13269.t1
PPN12664	GPAL|GPLIN_001149300	GROS|GROS_g12377.t1
PPN06080	GPAL|GPLIN_000587300	GROS|GROS_g14198.t1
PPN12667	GPAL|GPLIN_001152100	GROS|GROS_g11262.t1
PPN01485	GPAL|GPLIN_001155600	GROS|GROS_g07056.t1
