PPN01478	GPAL|GPLIN_001293100	GROS|GROS_g04709
PPN06086	GPAL|GPLIN_000482300	GROS|GROS_g06084
PPN11875	GPAL|GPLIN_000489200	GROS|GROS_g12920
PPN11874	GPAL|GPLIN_000488100	GROS|GROS_g08186
PPN11877	GPAL|GPLIN_000491100	GROS|GROS_g00253
PPN11871	GPAL|GPLIN_000487100	GROS|GROS_g08173
PPN11870	GPAL|GPLIN_000486200	GROS|GROS_g12174
PPN11873	GPAL|GPLIN_000487700	GROS|GROS_g08181
PPN11872	GPAL|GPLIN_000487400	GROS|GROS_g08178
PPN11879	GPAL|GPLIN_000494100	GROS|GROS_g07354
PPN11878	GPAL|GPLIN_000493100	GROS|GROS_g07844
PPN03556	GPAL|GPLIN_000494200	GROS|GROS_g07350
PPN03559	GPAL|GPLIN_000214400	GROS|GROS_g07414
PPN12262	GPAL|GPLIN_000792600	GROS|GROS_g13973
PPN06505	GPAL|GPLIN_000497200	GROS|GROS_g09909
PPN06406	GPAL|GPLIN_000927900	GROS|GROS_g05560
PPN06504	GPAL|GPLIN_000265300	GROS|GROS_g02368
PPN11253	GPAL|GPLIN_001114000	GROS|GROS_g04546
PPN11255	GPAL|GPLIN_001261800	GROS|GROS_g11657
PPN12727	GPAL|GPLIN_001197600	GROS|GROS_g05789
PPN06506	GPAL|GPLIN_000511000	GROS|GROS_g01533
PPN01023	GPAL|GPLIN_001019700	GROS|GROS_g11675
PPN01022	GPAL|GPLIN_000276800	GROS|GROS_g12355
PPN01021	GPAL|GPLIN_000515100	GROS|GROS_g09147
PPN03695	GPAL|GPLIN_000400400	GROS|GROS_g04492
PPN03692	GPAL|GPLIN_000734400	GROS|GROS_g01095
PPN03979	GPAL|GPLIN_000506200	GROS|GROS_g01490
PPN00973	GPAL|GPLIN_000621300	GROS|GROS_g01883
PPN03977	GPAL|GPLIN_001353600	GROS|GROS_g02735
